City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,strabane,54.8237,-7.4692,12.97,91,100,7.3,GB,1706010297
300,smithers,54.7804,-127.1743,-4.82,93,100,1.54,CA,1706010297
301,khovd,48.0056,91.6419,-22.25,95,11,0.72,MN,1706010298
302,mahibadhoo,3.7833,72.9667,27.88,75,11,5.89,MV,1706010298
303,vodnyy,63.5046,53.4095,-6.99,91,100,5.49,RU,1706010299
304,zhenlai,45.8495,123.2973,-14.59,80,36,3.18,CN,1706010299
305,karratha,-20.7377,116.8463,26.78,88,66,8.65,AU,1706010300
306,oeiras do para,-2.0031,-49.8544,28.01,78,83,1.72,BR,1706010301
307,kolonia,50.9333,6.95,10.48,71,40,7.72,DE,1706010096
308,laguna,38.421,-121.4238,13.36,94,100,1.54,US,1706010302
309,sabang,5.8933,95.3214,28.14,74,72,7.28,ID,1706010303
310,touba,8.2833,-7.6833,33.55,8,21,2.61,CI,1706010304
311,maysville,38.6412,-83.7444,4.88,65,100,2.57,US,1706010305
312,katsuura,35.1333,140.3,10.01,58,15,12.78,JP,1706010305
313,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,85,75,3.0,RU,1706010306
314,tazovsky,67.4667,78.7,-21.23,94,48,4.59,RU,1706010306
315,shalqar,47.8333,59.6,-8.81,95,81,3.71,KZ,1706010307
316,buala,-8.145,159.5921,28.21,82,100,2.53,SB,1706010308
317,yeniseysk,58.4497,92.1703,-20.03,98,98,1.79,RU,1706010308
318,parsons,37.3403,-95.2611,2.16,98,99,0.72,US,1706010309
319,lander,42.833,-108.7307,4.33,76,82,0.56,US,1706010310
320,makhjan,17.2698,73.5003,28.46,30,64,3.55,IN,1706010311
321,santa cruz,-17.8,-63.1667,24.03,73,75,4.12,BO,1706010254
322,horjul,46.0236,14.2992,10.14,57,63,1.03,SI,1706010312
323,mantua,45.1667,10.7833,8.94,63,6,1.79,IT,1706010313
324,namtsy,62.7161,129.6658,-31.23,95,99,2.88,RU,1706010313
325,ephraim,39.3597,-111.5863,3.23,74,100,1.81,US,1706010314
326,kone,-21.0595,164.8658,24.35,94,100,0.86,NC,1706010315
327,pyhajarvi,67.0701,27.2176,0.31,100,100,0.98,FI,1706010316
328,howrah,22.5892,88.3103,22.0,43,20,2.06,IN,1706010316
329,howard springs,-12.497,131.047,26.57,97,97,2.32,AU,1706010317
330,tadine,-21.55,167.8833,26.18,82,100,2.43,NC,1706010318
